target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label,pearson_p_bh,spearman_p_bh,kendall_p_bh
4zau,gnina,gnina_cnn_affinity_bestpose,233,0.33953976872375297,1.0743520081936583e-07,0.3148331726832677,9.334014313432823e-07,0.20380068883706143,4.146398287275307e-06,GNINA 1.3,2.2037989911664784e-07,1.965055644933226e-06,8.32154551030575e-06
4zau,plapt,plapt_affinity,235,0.194005533746751,0.0028208197550222444,0.0870717913450837,0.18345382132387447,0.053338143448570595,0.22603083943296676,PLAPT,0.004257841139656218,0.21582802508691112,0.2511453771477409
4zau,qvina,qvina_affinity_bestpose,233,0.07826254972159984,0.23403565694816564,0.021641846927990656,0.742450258532457,0.010217344802965345,0.8207887777783356,QVina2,0.267469322226475,0.7713768919817736,0.8418346438752159
5jkv,boltz2,boltz2_affinity_pred_value,486,0.5685751462155247,5.780864493278286e-43,0.5776839424695622,1.3212217908776147e-44,0.4064971256294514,1.151429457420071e-40,Boltz-2,4.624691594622629e-42,1.174419369668991e-43,1.0234928510400632e-39
5jkv,dynamicbind,dynamicbind_affinity_bestpose,488,0.13856641772331382,0.0021550026070730134,0.19671865715736772,1.201269970284322e-05,0.1332180815398944,1.1606105805776918e-05,DynamicBind,0.0033803962463890406,2.184127218698767e-05,2.159275498749194e-05
5jkv,gnina,gnina_cnn_affinity_bestpose,487,0.14364910404724685,0.0014808395932424461,0.18418532794560866,4.328502219963796e-05,0.1220963278817134,5.9775034815660754e-05,GNINA 1.3,0.0023693433491879137,7.367663353129865e-05,9.962505802610127e-05
5jkv,plapt,plapt_affinity,488,0.1187200059252062,0.008660445105597301,0.1461857225628629,0.001201682877136537,0.10260468628901302,0.000732218839633204,PLAPT,0.01174297641436922,0.0018487428879023645,0.0011485785719736533
5jkv,qvina,qvina_affinity_bestpose,487,0.13000453028677667,0.004055882331969885,0.15558836817384825,0.0005695429887530105,0.10179460330577332,0.0009413286223528167,QVina2,0.0058138105225124664,0.0008934007666713891,0.0014481978805427947
5mo4,boltz2,boltz2_affinity_pred_value,679,0.4191433596279647,2.880091663492931e-30,0.4352077452705411,9.442315274137458e-33,0.2895624821991895,3.1244330434946864e-29,Boltz-2,1.5360488871962296e-29,6.867138381190879e-32,2.082955362329791e-28
5mo4,dynamicbind,dynamicbind_affinity_bestpose,682,0.5960052180784287,8.10119090124656e-67,0.6076320875181561,4.571460400287273e-70,0.42933747134881356,1.8640296787879001e-62,DynamicBind,9.258503887138925e-66,7.314336640459637e-69,2.4853729050505334e-61
5mo4,gnina,gnina_cnn_affinity_bestpose,682,0.37337098611189146,5.507876893918769e-24,0.41525484234363114,8.253598333164274e-30,0.28035006550265246,1.3134663113378698e-27,GNINA 1.3,2.3576484152966616e-23,4.716341904665299e-29,6.56733155668935e-27
5mo4,plapt,plapt_affinity,682,0.23539770093887352,4.851608047764232e-10,0.2556045434923288,1.2374338043035779e-11,0.174129727149543,1.3366002235948307e-11,PLAPT,1.1415548347680546e-09,3.2998234781428746e-11,3.68717303060643e-11
5mo4,qvina,qvina_affinity_bestpose,682,0.4102481197204603,4.5440281485757694e-29,0.41829974152923316,2.8837738518549108e-30,0.2874693765965365,2.263444222355724e-28,QVina2,2.2720140742878846e-28,1.9225159012366073e-29,1.392888752218907e-27
